Период действия;Ставка, % годовых;Нормативный документ;;;;
2 декабря 1996 г. – 9 февраля 1997 г.;48;Телеграмма Банка России от 29.11.96 № 142–96;;;;
21 октября 1996 г. – 1 декабря 1996 г.;60;Телеграмма Банка России от 18.10.96 № 129–96;;;;
19 августа 1996 г. – 20 октября 1996 г.;80;Телеграмма Банка России от 16.08.96 № 109–96;;;;
24 июля 1996 г. – 18 августа 1996 г.;110;Телеграмма Банка России от 23.07.96 № 107–96;;;;
10 февраля 1996 г. – 23 июля 1996 г.;120;Телеграмма Банка России от 09.02.96 № 18–96;;;;
1 декабря 1995 г. – 9 февраля 1996 г.;160;Телеграмма Банка России от 29.11.95 № 131–95;;;;
24 октября 1995 г. – 30 ноября 1995 г.;170;Телеграмма Банка России от 23.10.95 № 111–95;;;;
19 июня 1995 г. – 23 октября 1995 г.;180;Телеграмма Банка России от 16.06.95 № 75–95;;;;
16 мая 1995 г. – 18 июня 1995 г.;195;Телеграмма Банка России от 15.05.95 № 64–95;;;;
6 января 1995 г. – 15 мая 1995 г.;200;Телеграмма Банка России от 05.01.95 № 3–95;;;;
17 ноября 1994 г. – 5 января 1995 г.;180;Телеграмма Банка России от 16.11.94 № 199–94;;;;
12 октября 1994 г. – 16 ноября 1994 г.;170;Телеграмма Банка России от 11.10.94 № 192–94;;;;
23 августа 1994 г. – 11 октября 1994 г.;130;Телеграмма Банка России от 22.08.94 № 165–94;;;;
1 августа 1994 г. – 22 августа 1994 г.;150;Телеграмма Банка России от 29.07.94 № 156–94;;;;
30 июня 1994 г. – 31 июля 1994 г.;155;Телеграмма Банка России от 29.06.94 № 144–94;;;;
22 июня 1994 г. – 29 июня 1994 г.;170;Телеграмма Банка России от 21.06.94 № 137–94;;;;
2 июня 1994 г. – 21 июня 1994 г.;185;Телеграмма Банка России от 01.06.94 № 128–94;;;;
17 мая 1994 г. – 1 июня 1994 г.;200;Телеграмма Банка России от 16.05.94 № 121–94;;;;
29 апреля 1994 г. – 16 мая 1994 г.;205;Телеграмма Банка России от 28.04.94 № 115–94;;;;
15 октября 1993 г. – 28 апреля 1994 г.;210;Телеграмма Банка России от 14.10.93 № 213–93;;;;
23 сентября 1993 г. – 14 октября 1993 г.;180;Телеграмма Банка России от 22.09.93 № 200–93;;;;
15 июля 1993 г. – 22 сентября 1993 г.;170;Телеграмма Банка России от 14.07.93 № 123–93;;;;
29 июня 1993 г. – 14 июля 1993 г.;140;Телеграмма Банка России от 28.06.93 № 111–93;;;;
22 июня 1993 г. – 28 июня 1993 г.;120;Телеграмма Банка России от 21.06.93 № 106–93;;;;
2 июня 1993 г. – 21 июня 1993 г.;110;Телеграмма Банка России от 01.06.93 № 91–93;;;;
30 марта 1993 г. – 1 июня 1993 г.;100;Телеграмма Банка России от 29.03.93 № 52–93;;;;
23 мая 1992 г. – 29 марта 1993 г.;80;Телеграмма Банка России от 22.05.92 № 01–156;;;;
10 апреля 1992 г. – 22 мая 1992 г.;50;Телеграмма Банка России от 10.04.92 № 84–92;;;;
1 января 1992 г. – 9 апреля 1992 г.;20;Телеграмма Банка России от 29.12.91 № 216–91;;;;
